,date,price,description,location,bedrooms,bathrooms,land,floor
573,10/07/2024,"Rp2,2 Miliar","Rumah Gading Mas Barat Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",4,2,116 m²,100 m²
574,10/07/2024,"Rp4,2 Miliar","Rumah Summagung Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",3,3,108 m²,130 m²
575,09/07/2024,"Rp3,2 Miliar","Rumah BCS, Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",5,4,165 m²,135 m²
576,09/07/2024,"Rp1,7 Miliar","Rumah Norfolk, Rorotan Kirana Legacy Cilincing, Jakarta Utara","Cilincing, Jakarta Utara",3,3,216 m²,125 m²
577,09/07/2024,"Rp3,1 Miliar","Rumah Sedayu City ABR Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",2,1,57 m²,81 m²
578,09/07/2024,Rp6 Miliar,"Rumah Grand Orchard Clover Sukapura, Cilincing, Jakarta Utara","Kelapa Gading, Jakarta Utara",4,4,215 m²,226 m²
579,09/07/2024,Rp25 Miliar,"Rumah Cempaka Putih Timur Cempaka Putih, Jakarta Pusat","Cempaka Putih, Jakarta Pusat",5,5,750 m²,1000 m²
580,09/07/2024,"Rp6,79 Miliar","Dijual Rumah Townhouse Baru Konsep Keharmonisan yang Tenang di Pasar Minggu, Jakarta Selatan, Jakarta","Pasar Minggu, Jakarta Selatan",3,3,114 m²,210 m²
581,09/07/2024,Rp10 Miliar,"Rumah Villa Permata Gading, Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",6,4,443 m²,1 m²
582,09/07/2024,"Rp3,7 Miliar","Rumah Gading Griya Pratama Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",4,3,149 m²,135 m²
583,09/07/2024,Rp23 Miliar,"Rumah Royal Orchard, Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",5,6,660 m²,1100 m²
584,09/07/2024,"Rp2,48 Miliar","Dijual Rumah Townhouse Baru Konsep High Functional House di Jagakarsa, Jakarta Selatan, Jakarta","Jagakarsa, Jakarta Selatan",3,2,60 m²,170 m²
585,09/07/2024,"Rp8,5 Miliar","Rumah Kelapa Nias Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",5,2,255 m²,150 m²
586,09/07/2024,"Rp11,5 Miliar","Rumah Kelapa Cengkir Timur, Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",4,4,332 m²,269 m²
587,09/07/2024,"Rp3,55 Miliar","Rumah Sedayu City Blok ABR Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",3,3,75 m²,107 m²
588,09/07/2024,Rp20 Miliar,"Rumah Jl. Cempaka Putih Raya Cempaka Putih, Jakarta Pusat","Cempaka Putih, Jakarta Pusat",8,8,447 m²,1020 m²
589,09/07/2024,"Rp13,5 Miliar","Rumah Gading Kirana Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",4,4,260 m²,450 m²
590,09/07/2024,"Rp2,1 Miliar","Rumah Gading Indah Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",3,1,90 m²,108 m²
591,09/07/2024,Rp10 Miliar,"Rumah Jl. Danau Indah Barat Sunter Jaya, Jakarta Utara","Tanjung Priok, Jakarta Utara",1,1,300 m²,360 m²
592,09/07/2024,"Rp1,65 Miliar","Rumah Gading Arcadia, Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",2,1,80 m²,67 m²
593,09/07/2024,"Rp3,6 Miliar","Rumah Jl Kelapa Nias Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",4,3,120 m²,200 m²
594,09/07/2024,"Rp1,6 Miliar","Rumah Gading Griya Residence, Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",2,2,88 m²,1 m²
595,09/07/2024,"Rp5,3 Miliar",DIJUAL RUMAH PREMIUM JL BINTARO PERMAI JAKARTA SELATAN,"Pesanggrahan, Jakarta Selatan",4,4,460 m²,500 m²
596,09/07/2024,"Rp6,5 Miliar","Rumah Jl Pelepah Elok Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",4,3,180 m²,216 m²
597,09/07/2024,"Rp9,5 Miliar","Rumah Gading Nirwana Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",4,4,331 m²,358 m²
598,09/07/2024,"Rp5,4 Miliar","Rumah Sedayu City, Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",3,3,112 m²,157 m²
599,09/07/2024,"Rp5,61 Miliar","Rumah Sunter Agung Permai Sunter, Tanjung Priok, Jakarta Utara","Tanjung Priok, Jakarta Utara",1,1,216 m²,1 m²
600,09/07/2024,Rp995 Juta,"Rumah Gading Griya Residence Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",1,1,90 m²,1 m²
601,09/07/2024,"Rp6,5 Miliar","Rumah Kelapa Cengkir Timur, Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",5,3,360 m²,400 m²
602,09/07/2024,"Rp1,65 Miliar","Rumah Jl. Kuning Tua, Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",4,2,105 m²,120 m²
603,09/07/2024,"Rp2,1 Miliar","Rumah Kelapa Nias, Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",3,2,102 m²,108 m²
604,09/07/2024,"Rp4,9 Miliar","Rumah Jl. Agung Utara, Sunter Agung, Jakarta Utara","Tanjung Priok, Jakarta Utara",3,3,150 m²,90 m²
605,09/07/2024,"Rp6,5 Miliar","Rumah Gading Grande Timur, Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",4,3,144 m²,244 m²
606,09/07/2024,"Rp3,9 Miliar","Rumah Kelapa Cengkir Timur, Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",3,2,180 m²,120 m²
607,09/07/2024,"Rp12,5 Miliar","Rumah Villa Permata Gading Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",4,4,375 m²,600 m²
608,09/07/2024,"Rp1,85 Miliar","Rumah Jl. Kakak tua Komp. Walikota Sukapura, Jakarta Utara","Kelapa Gading, Jakarta Utara",3,1,160 m²,60 m²
609,09/07/2024,Rp5 Miliar,"Rumah Jl. Kepodang Komp. Walikota Sukapura, Jakarta Utara","Kelapa Gading, Jakarta Utara",4,4,160 m²,200 m²
610,09/07/2024,"Rp3,75 Miliar","Rumah Kelapa Molek Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",10,10,102 m²,216 m²
611,09/07/2024,"Rp5,9 Miliar","Rumah Kelapa Kopyor Timur, Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",4,4,145 m²,250 m²
612,09/07/2024,"Rp5,7 Miliar","Rumah Jl. Raya Kelapa Kopyor, Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",4,3,102 m²,200 m²
613,09/07/2024,"Rp3,5 Miliar","Rumah Gading Griya Lestari, Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",5,3,180 m²,1 m²
614,09/07/2024,"Rp5,25 Miliar","Rumah Kelapa Gading Permai Raya, Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",3,2,80 m²,1 m²
615,09/07/2024,Rp2 Miliar,"Rumah Jl. Pademangan IV, Jakarta Utara","Pademangan, Jakarta Utara",1,1,96 m²,1 m²
616,09/07/2024,Rp20 Miliar,"Rumah Jl. Lebak Bulus, Cilandak Jakarta Selatan","Cilandak, Jakarta Selatan",2,2,1000 m²,800 m²
617,09/07/2024,"Rp10,5 Miliar","Rumah Jl. Pulo Asem Utara Raya, Jakarta Timur","Pulo Gadung, Jakarta Timur",4,4,386 m²,550 m²
618,09/07/2024,"Rp3,8 Miliar","Rumah Taman Buaran Indah, Jakarta Timur","Duren Sawit, Jakarta Timur",4,3,198 m²,350 m²
619,09/07/2024,"Rp2,95 Miliar","Rumah Jl. Warakas Raya, Tanjung Priok, Jakarta Utara","Tanjung Priok, Jakarta Utara",1,1,266 m²,150 m²
620,09/07/2024,Rp11 Miliar,"Rumah Pulomas, Jakarta Timur","Pulo Gadung, Jakarta Timur",6,4,420 m²,500 m²
621,09/07/2024,"Rp4,7 Miliar","Rumah Grand Orchard Ebony Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",4,3,119 m²,165 m²
622,09/07/2024,"Rp3,95 Miliar","Rumah Riviera Garden Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",4,3,119 m²,156 m²
623,09/07/2024,"Rp1,65 Miliar","Rumah Gading Griya Lestari Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",2,2,75 m²,1 m²
624,09/07/2024,"Rp2,6 Miliar","Rumah Jl. Melodi Mas, Griya Pratama, Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",4,3,90 m²,200 m²
625,09/07/2024,"Rp9,9 Miliar","Rumah Kelapa Puan Barat, Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",10,10,374 m²,800 m²
626,09/07/2024,"Rp5,3 Miliar","Rumah Jl. Bongo BCS, Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",2,1,178 m²,200 m²
627,09/07/2024,"Rp6,9 Miliar","Rumah Jl. Summagung, Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",4,3,180 m²,300 m²
628,09/07/2024,"Rp3,45 Miliar","Rumah Jl. Mangga, Kepa Duri, Jakarta Barat","Grogol Petamburan, Jakarta Barat",3,3,165 m²,300 m²
629,09/07/2024,"Rp11,5 Miliar","Rumah Kelapa Cengkir Timur, Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",4,4,332 m²,269 m²
630,09/07/2024,"Rp3,5 Miliar","Rumah Sedayu City Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",2,1,54 m²,81 m²
631,09/07/2024,Rp15 Miliar,"Rumah Panglima Polim Melawai, Kebayoran Baru, Jakarta Selatan","Kebayoran Baru, Jakarta Selatan",4,2,284 m²,200 m²
632,09/07/2024,"Rp1,35 Miliar","Rumah Norfolk Rorotan Kirana Legacy Cilincing, Jakarta Utara","Cilincing, Jakarta Utara",3,3,153 m²,112 m²
633,09/07/2024,Rp10 Miliar,"Rumah Grand Orchard Ebony Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",4,3,352 m²,250 m²
634,09/07/2024,"Rp8,5 Miliar","Rumah Grand Orchard Clover Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",5,5,325 m²,400 m²
635,09/07/2024,"Rp1,77 Miliar","Rumah Gading Griya Lestari Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",3,2,75 m²,90 m²
636,09/07/2024,"Rp1,27 Miliar","Rumah Gading Griya Residence Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",2,3,53 m²,70 m²
637,03/07/2024,"Rp1,4 Miliar","Rumah Jl. Taruna Raya Semper Barat, Cilincing, Jakarta Utara","Cilincing, Jakarta Utara",3,2,70 m²,175 m²
638,03/07/2024,"Rp2,2 Miliar","Rumah Layar Permai Kapuk Muara, Penjaringan, Jakarta Utara","Penjaringan, Jakarta Utara",3,2,48 m²,96 m²
