,date,price,description,location,bedrooms,bathrooms,land,floor
0,04/09/2024,"Rp5,9 Miliar",Dijual Rumah Di Salemba Jakarta Pusat Langsung Pemilik,"Senen, Jakarta Pusat",5,3,228 m²,270 m²
1,28/08/2024,Rp700 Juta,Rumah Mewah 2lt Start 700jt Luas 90M2| Area CIBUBUR | 5 Menit Tol setu ( Cimanggis-Cibitung),"Pasar Rebo, Jakarta Timur",3,2,90 m²,59 m²
2,28/08/2024,Rp700 Juta,Rumah Mewah 2lt Start 700jt Luas 90M2| Area Cibubur,"Ciracas, Jakarta Timur",3,2,90 m²,60 m²
3,14/08/2024,"Rp3,6 Miliar","MURAH DIJUAL 3.6M NEGO KAWASAN KEBON JERUK JAKARTA BARAT , BEBAS BANJIR","Kebon Jeruk, Jakarta Barat",5,4,187 m²,178 m²
4,13/09/2024,Rp672 Juta,"Rumah Baru 2 Lantai Minimalis Modern Premium Dekat ke Stasiun di Parung Panjang, Bogor, Jawa Barat Dekat Stasiun 𝗖𝗶𝗰𝗶𝗹𝗮𝗻 𝗵𝗮𝗻𝘆𝗮 4𝗷𝘁/ 𝗯𝘂𝗹𝗮𝗻 ‼️ Tanpa DP, Cuma 3 Juta Langsung Akad ‼️","Jagakarsa, Jakarta Selatan",3,2,60 m²,60 m²
5,03/09/2024,"Rp3,3 Miliar",DI JUAL RUMAH  DI MENTENG JAKARTA PUSAT,"Setia Budi, Jakarta Selatan",5,3,196 m²,161 m²
6,13/09/2024,Rp11 Miliar,"DIJUAL Rumah Mewah, Besar, Luas dan Semi Furnished, 2 Lantai Lokasi Strategis di daerah Condet, Pasar Rebo, Jakarta Timur","Pasar Rebo, Jakarta Timur",5,5,619 m²,780 m²
7,13/09/2024,Rp10 Miliar,"DIJUAL Rumah Cantik, Besar, Luas 2 Lantai di dalam cluster, Lokasi Strategis di daerah Condet, Pasar Rebo, Jakarta Timur","Pasar Rebo, Jakarta Timur",6,5,574 m²,500 m²
8,12/09/2024,"Rp1,25 Miliar",Rumah Siap Huni dan Baru Renovasi,"Johar Baru, Jakarta Pusat",2,2,24 m²,72 m²
9,09/09/2024,"Rp5,8 Miliar",Dijual Rumah Ready Huni Di cempaka Putih Nyaman Aman dan Bersih,"Cempaka Putih, Jakarta Pusat",3,3,261 m²,199 m²
10,06/09/2024,"Rp3,33 Miliar",Rumah dijual LT 443 m LB 130 m 4 KT 2 KM,"Jagakarsa, Jakarta Selatan",3,1,443 m²,130 m²
11,03/09/2024,"Rp4,4 Miliar",Rumah di Kenari Golf dijual murah di Pantai Indah Kapuk,"Penjaringan, Jakarta Utara",3,3,120 m²,170 m²
12,02/09/2024,Rp30 Miliar,"Rumah 2 lantai di sungai sambas, melawai Jaksel milik old money Jaksel","Kebayoran Baru, Jakarta Selatan",3,2,245 m²,175 m²
13,02/09/2024,"Rp7,5 Miliar",TERMURAH JARANG ADA! Rumah Kemang Timur dijual harga murah dibawah NJOP jauh dibawah pasaran hitung tanah cocok untuk rumah kost tidak banjir lokasi strategis Bangka Mampang Prapatan Jakarta Selatan,"Mampang Prapatan, Jakarta Selatan",3,3,535 m²,330 m²
14,31/08/2024,"Rp4,2 Miliar",Rumah Minimalis Modern Baru Taman Alfa Indah Blok Favorit Dijamin Bebas Banjir Semi Furnish & Mewah Harga Masuk Akal,"Kembangan, Jakarta Barat",4,3,162 m²,220 m²
15,02/09/2024,Rp23 Miliar,Rumah dan Kost Strategis di Slipi,"Palmerah, Jakarta Barat",23,20,600 m²,900 m²
16,30/08/2024,Rp12 Miliar,HARUS SEGERA TERJUAL DALAM 2 MINGGU NEGO SAMPAI DEAL!! MEWAHHHHH!!! Rumah Sunter dijual harga murah bangunan baru dan kokoh siap huni full furnished dijamin untung jakarta utara,"Tanjung Priok, Jakarta Utara",6,5,308 m²,650 m²
17,26/08/2024,"Rp5,68 Miliar","Rumah Grogol dijual harga sangat murah di bawah pasaran, Minimalis, bagus dan siap huni, tidak banjir. jalan besar jakarta barat jl. dokter semeru petamburan","Grogol Petamburan, Jakarta Barat",4,4,338 m²,338 m²
18,23/08/2024,"Rp2,95 Miliar",RUMAH BAGUS HARGA MURAH FULL RENOVASI SIAP HUNI UKURAN 136M2 JAKARTA BARAT CITRA GARDEN 2 EXT,"Kali Deres, Jakarta Barat",3,2,136 m²,200 m²
19,23/08/2024,"Rp2,55 Miliar",Rumah Classic Cantik Di Jagakarsa Bangunan Luas Lokasi Strategis Pinggir Jalan Utama,"Jagakarsa, Jakarta Selatan",4,5,113 m²,190 m²
20,22/08/2024,"Rp1,65 Miliar","Jual Rumah Jakarta Barat murah butuh cepat siap huni 1,5 lantai Citra Garden 3 kalideres pegadungan","Kali Deres, Jakarta Barat",2,2,96 m²,100 m²
21,19/08/2024,"Rp9,5 Miliar",Dijual Rumah Dengan Halaman Luas kurang lebih 300m² Di Jeruk Purut Jakarta Selatan,"Cilandak, Jakarta Selatan",5,4,738 m²,700 m²
22,15/08/2024,"Rp5,11 Miliar",Rumah Baru Siap Huni Bintaro - Discovery Amore - Discovery Bintaro,"Kebayoran Baru, Jakarta Selatan",4,4,120 m²,144 m²
23,11/09/2024,"Rp5,5 Miliar",Cari Rumah Posisi Hook Asri Strategis di Tengah Kota Dekat K. Gading Rawamangun,"Pulo Gadung, Jakarta Timur",4,4,192 m²,235 m²
24,21/08/2024,"Rp4,7 Miliar","Rumah Permata Buana, Cluster Pulau Tidung, Jakarta Barat, 8x18 m², 2 Lt, SHM (TSI/16687)","Kembangan, Jakarta Barat",4,2,144 m²,148 m²
25,21/08/2024,Rp11 Miliar,"Turun Harga!! Rumah Komp. Pluit Putri, Penjaringan, 14x26 m², 3½ Lt, SHM (TSI/16376)","Penjaringan, Jakarta Utara",6,4,366 m²,837 m²
26,16/09/2024,Rp5 Miliar,"RUMAH BESAR FURNISH, PERUMAHAN KEBON JERUK BARU","Kebon Jeruk, Jakarta Barat",3,3,239 m²,275 m²
27,14/09/2024,Rp3 Miliar,DIJUAL TANAH & BANGUNAN MURAH LOKASI STRATEGIS BEBAS BANJIR,"Grogol Petamburan, Jakarta Barat",7,3,192 m²,209 m²
28,13/09/2024,"Rp7,9 Miliar","Dijual Rumah Cantik Baru Bangun dgn Jalan Boulevard di Pondok Kelapa, Duren Sawit, Jakarta Timur","Duren Sawit, Jakarta Timur",5,2,350 m²,550 m²
29,12/09/2024,"Rp2,91 Miliar","Rumah 2 Lantai 145/260m2 4KT/4KM Material Premium di PKP, Kelapa Dua Wetan, Ciracas, Jakarta Timur","Ciracas, Jakarta Timur",4,4,145 m²,260 m²
30,09/09/2024,"Rp10,5 Miliar",Rumah 2 Lantai 4 + 1 Kamar Tidur Sedayu City,"Cakung, Jakarta Timur",4,4,200 m²,246 m²
31,09/09/2024,"Rp13,5 Miliar",Rumah Siap Huni Ada Mushola di Cempaka Putih,"Cempaka Putih, Jakarta Pusat",4,4,513 m²,271 m²
32,08/09/2024,"Rp27,2 Miliar","200 mtr dari jalan raya, lebar jalan 2 mobil legah, daerah yang rapih,Murah, bebas banjir, cocok buat usaha","Jagakarsa, Jakarta Selatan",5,4,1819 m²,200 m²
33,07/09/2024,"Rp2,69 Miliar",Di Jual rumah BARU sedang tahap pembangunan lokasi Taman ratu jakarta barat. Bebas banjir,"Kebon Jeruk, Jakarta Barat",3,3,90 m²,126 m²
34,27/08/2024,"Rp5,3 Miliar",Rumah Mewah Megah dijual murah di Pondok Kelapa Duren Sawit,"Duren Sawit, Jakarta Timur",5,4,356 m²,333 m²
35,23/08/2024,"Rp1,55 Miliar",Rumah Mewah Harga Murah Akses Langsung Jalan M Kahfi 2,"Jagakarsa, Jakarta Selatan",3,3,70 m²,120 m²
36,20/08/2024,"Rp8,8 Miliar",Dijual Rumah Mewah 2 Lantai Daerah Tebet,"Tebet, Jakarta Selatan",8,7,325 m²,500 m²
37,17/09/2024,"Rp3,2 Juta",Rumah di Pejaten Barat Pasar Minggu Jakarta Selatan,"Pasar Minggu, Jakarta Selatan",4,3,126 m²,300 m²
38,09/07/2024,"Rp2,5 Miliar","Rumah Jl. Harpa BCS, Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",2,2,75 m²,90 m²
39,09/07/2024,Rp2 Miliar,"Rumah Norfolk, Rorotan Kirana Legacy Cilincing, Jakarta Utara","Cilincing, Jakarta Utara",3,3,162 m²,122 m²
40,09/07/2024,"Rp5,5 Miliar","Rumah Jl. Seruling Raya BCS, Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",2,2,120 m²,180 m²
41,09/07/2024,"Rp5,2 Miliar","Rumah Sedayu City Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",3,3,100 m²,142 m²
42,09/07/2024,"Rp5,9 Miliar","Rumah Sedayu City Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",3,3,100 m²,142 m²
43,09/07/2024,"Rp4,6 Miliar","Rumah Jl. Gading Raya Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",3,2,144 m²,236 m²
44,09/07/2024,Rp3 Miliar,"Rumah Simponi Mas Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",4,4,135 m²,180 m²
45,09/07/2024,"Rp2,85 Miliar","Rumah Gading Griya Lestari, Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",5,4,150 m²,230 m²
46,09/07/2024,"Rp2,7 Miliar","Rumah Pondok Gading Utama  Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",4,3,119 m²,1 m²
47,09/07/2024,"Rp2,4 Miliar","Rumah Jln. Bellyra Komp. BCS Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",3,2,127 m²,1 m²
48,09/07/2024,"Rp3,1 Miliar","Rumah Pondok Gading Utama Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",3,1,204 m²,200 m²
49,09/07/2024,"Rp3,8 Miliar",Rumah Taman Surya Kalideres Jakarta Barat,"Kali Deres, Jakarta Barat",5,2,200 m²,160 m²
50,09/07/2024,Rp11 Miliar,"Rumah Janur Hijau, Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",4,2,400 m²,225 m²
51,09/07/2024,"Rp4,5 Miliar","Rumah Jl. Pulomas, Kayu Putih, Pulo Gadung, Jakarta Timur","Pulo Gadung, Jakarta Timur",3,2,160 m²,1 m²
52,18/06/2024,"Rp3,97 Miliar",DEKAT DENGAN MRT CIPETE RUMAH BARU SIAP HUNI PRECIUM CIPETE JAKARTA SELATAN,"Kebayoran Baru, Jakarta Selatan",3,3,116 m²,132 m²
53,18/06/2024,"Rp3,93 Miliar",10 MENIT KE MRT RUMAH BARU SIAP HUNI PRECIUM CIPETE JAKARTA SELATAN,"Kebayoran Baru, Jakarta Selatan",3,3,116 m²,132 m²
54,18/06/2024,Rp4 Miliar,15 MENIT KE BLOK M RUMAH BARU SIAP HUNI PRECIUM CIPETE JAKARTA SELATAN,"Kebayoran Baru, Jakarta Selatan",3,3,116 m²,132 m²
55,18/06/2024,"Rp3,95 Miliar",PALING STRATEGIS RUMAH BARU SIAP HUNI PRECIUM CIPETE JAKARTA SELATAN,"Kebayoran Baru, Jakarta Selatan",3,3,116 m²,132 m²
56,18/06/2024,"Rp3,9 Miliar",PALING MURAH RUMAH BARU SIAP HUNI PRECIUM CIPETE JAKARTA SELATAN,"Kebayoran Baru, Jakarta Selatan",3,3,116 m²,132 m²
57,21/05/2024,"Rp4,3 Miliar",KOST AKTIF - Rawamangun,"Pulo Gadung, Jakarta Timur",10,10,205 m²,350 m²
58,26/03/2024,"Rp1,64 Miliar","Rumah Imperial Gading Sukapura, Jakarta Utara","Kelapa Gading, Jakarta Utara",3,2,60 m²,95 m²
59,26/03/2024,"Rp2,6 Miliar","Rumah Gading Griya Lestari Sukapura, Jakarta Utara","Kelapa Gading, Jakarta Utara",3,3,112 m²,225 m²
60,12/06/2024,Rp28 Miliar,Dijual Cepat Rumah Mewah Furnished Di Area Cilandak STDN0066,"Cilandak, Jakarta Selatan",4,4,1000 m²,650 m²
61,12/06/2024,"Rp2,6 Miliar",Rumah Tua Hitung Tanah Depan Mall Jl Pondok Labu I Jakarta,"Cilandak, Jakarta Selatan",4,2,300 m²,198 m²
62,05/06/2024,"Rp5,5 Miliar",Rumah Dijual Cepat Bumi Karang Indah Jl.Karang Asri IV Lebak Bulus Cilandak Jakarta Selatan,"Cilandak, Jakarta Selatan",4,3,253 m²,200 m²
63,05/06/2024,Rp8 Miliar,Rumah Luas Akses Strategis di Mampang,"Mampang Prapatan, Jakarta Selatan",7,3,300 m²,350 m²
64,05/06/2024,Rp800 Juta,Dijual Rumah Minimalis Dalam Cluster Akses Motor Di Jatinegara Jakarta Timur,"Jatinegara, Jakarta Timur",2,1,19 m²,37 m²
65,05/06/2024,Rp5 Miliar,Dijual murah seharga NJOP Nego rumah siap huni di Bintaro Jaksel,"Pesanggrahan, Jakarta Selatan",8,4,378 m²,400 m²
66,29/05/2024,"Rp11,5 Miliar","Di Jual rumah tua murah,S pool di bawah NJOP di Ampera Kemang Jaksel Seken di Pasar Minggu, Jakarta Selatan, Jakarta","Pasar Minggu, Jakarta Selatan",4,4,964 m²,270 m²
67,22/05/2024,"Rp3,35 Miliar",Properti Mewah Berhadiah Mobil Townhouse Royal Nuri Jaksel,"Pesanggrahan, Jakarta Selatan",3,3,70 m²,170 m²
68,15/05/2024,Rp9 Miliar,"Rumah Cempaka Putih Tengah: 2 Lt, LT 378 m2, Murah Jual Cepat","Cempaka Putih, Jakarta Pusat",9,7,378 m²,600 m²
69,15/05/2024,Rp9 Miliar,"Rumah Cempaka Putih Tengah: 2 Lt, LT 378 m2, Murah Jual Cepat BU Bagus","Cempaka Putih, Jakarta Pusat",9,7,378 m²,600 m²
70,15/05/2024,Rp750 Juta,Rumah Baru minimalis pondok kopi duren sawit jakarta shm,"Duren Sawit, Jakarta Timur",3,2,50 m²,100 m²
71,01/05/2024,Rp950 Juta,Rumah Tahun 2023 Munjul Cipayung Jakarta Timur,"Cipayung, Jakarta Timur",3,2,100 m²,96 m²
72,24/04/2024,"Rp3,85 Miliar",Rumah Baru 2 Lantai Siap huni Lokasi strategis dan bebas banjir di ragunan jakarta selatan,"Pasar Minggu, Jakarta Selatan",3,3,124 m²,250 m²
73,24/04/2024,Rp2 Miliar,DIJUAL RUMAH TUA HITUNG TANAH SAJA DI CITRA GARDEN 1,"Kali Deres, Jakarta Barat",0,0,150 m²,80 m²
74,17/04/2024,"Rp3,5 Miliar",Dijual Rumah Baru Row Jalan Lebar Di Duren Sawit Jakarta Timur,"Duren Sawit, Jakarta Timur",4,3,167 m²,160 m²
75,10/04/2024,"Rp3,25 Miliar","Dijual rumah siap huni,lokasi strategis dan lingkungan yang nyaman di Gandaria Utara","Kebayoran Baru, Jakarta Selatan",3,3,60 m²,150 m²
76,08/06/2024,"Rp19,5 Miliar",Rumah Hook luas di Cilandak Jakarta Selatan,"Cilandak, Jakarta Selatan",5,4,1340 m²,800 m²
77,03/07/2024,Rp7 Miliar,Jual Cepat Rumah Minimalis 6 x 24 Petamburan Benhil Tanah Abang,"Tanah Abang, Jakarta Pusat",4,5,144 m²,348 m²
78,27/06/2024,"Rp3,29 Miliar",Rumah Baru 3 Lantai View Danau Bukit Golf Riverside Cibubur,"Ciracas, Jakarta Timur",4,3,250 m²,160 m²
79,30/05/2024,"Rp1,9 Miliar",Rumah Park Residence (Ukuran 6x12 m),"Kebon Jeruk, Jakarta Barat",3,2,72 m²,96 m²
80,10/07/2024,Rp21 Miliar,Dijual Rumah Apik Nyaman Siap Huni di Cempaka Putih Jakarta Pusat,"Cempaka Putih, Jakarta Pusat",7,5,602 m²,800 m²
81,10/07/2024,Rp10 Miliar,Dijual Rumah Nyaman Cocok Untuk Usaha di Kayu Putih Jakarta Timur,"Pulo Gadung, Jakarta Timur",6,6,386 m²,550 m²
82,10/07/2024,"Rp6,2 Miliar",Dijual Rumah Asri Nyaman di Cempaka Putih Jakarta Pusat,"Cempaka Putih, Jakarta Pusat",10,5,319 m²,276 m²
83,10/07/2024,"Rp46,5 Miliar",Dijual Rumah Bagus Nyaman di Menteng Jakarta Pusat,"Menteng, Jakarta Pusat",6,6,535 m²,700 m²
84,18/09/2024,Rp2 Miliar,"Rumah Mewah di Bintaro Kesehatan: Nyaman, dan Strategis!",Jakarta,2,3,118 m²,110 m²
85,18/09/2024,"Rp10,5 Miliar","Rumah arsutectur kaca , minimalis , strategis  di Tebet Jakarta Selatan","Tebet, Jakarta Selatan",4,3,278 m²,378 m²
86,18/09/2024,"Rp16,7 Miliar","Rumah area Komersial Puri Indah Raya Bisa Buat Usaha dan Cocok buat Klinik Kecantikan, Gigi, Praktek Dokter dll.  Harga sangat miring dibawah Pasar. Segera Hub 081390001xxxxLucky Win di Puri Indah","Kembangan, Jakarta Barat",5,4,600 m²,674 m²
87,18/09/2024,"Rp2,5 Miliar","Dijual Rumah Asri di Lingkungan Tenang dan Aman di Pondok Ranggon, Cipayung, Jakarta Timur","Cipayung, Jakarta Timur",4,2,355 m²,162 m²
88,18/09/2024,"Rp8,2 Miliar","Dijual Cepat !! Rumah LUX Mewah Siap Huni 8x20 di Bukit Gading Mediterania , Bisa Nego","Kelapa Gading, Jakarta Utara",4,3,160 m²,225 m²
89,18/09/2024,"Rp2,75 Miliar","Dijual Cepat !! Rumah Siap Huni 4,5x15 di BCS Raya Kelapa Gading , Bisa Nego","Kelapa Gading, Jakarta Utara",3,3,67 m²,67 m²
90,18/09/2024,"Rp3,2 Miliar","Dijual Cepat !! Rumah Sudah Renovasi 6x17 Siap Huni di Kelapa Puan , Bisa Nego","Kelapa Gading, Jakarta Utara",3,3,102 m²,101 m²
91,18/09/2024,Rp970 Juta,Rumah Minimalist Rapi siap Huni,"Tambora, Jakarta Barat",2,2,52 m²,104 m²
92,18/09/2024,"Rp2,2 Miliar",Rumah 2lantai Rapi Sudah Renov Siap Huni,"Cengkareng, Jakarta Barat",3,2,90 m²,170 m²
93,18/09/2024,"Rp6,5 Miliar",Rumah Lama Dalam Komplek Strategis Duren Tiga Jakarta Selatan,"Pancoran, Jakarta Selatan",3,2,210 m²,150 m²
94,18/09/2024,"Rp4,5 Miliar","Rumah Kost Palmerah, Jakarta Barat, 12.5x12.5 m², 3½ Lt, SHM (TSI/16698)","Palmerah, Jakarta Barat",10,8,157 m²,549 m²
95,18/09/2024,"Rp8,8 Miliar","Rumah Permata Buana, Cluster Pulau Tidung, Jakarta Barat, 10x23 m², 2 Lt, SHM (TSI/17015)","Kembangan, Jakarta Barat",3,3,230 m²,270 m²
96,18/09/2024,"Rp8,8 Miliar","Rumah Permata Buana, Cluster Pulau Tidung, Jakarta Barat, 10x23 m², 2 Lt, SHM (TSI/17015)","Kembangan, Jakarta Barat",3,3,230 m²,270 m²
97,18/09/2024,Rp750 Juta,"TURUN HARGA!! Rumah Bojong Indah, Rawa Buaya, 6x15 m², 2 Lt, SHM (TSI/17019)","Cengkareng, Jakarta Barat",2,1,90 m²,54 m²
98,18/09/2024,Rp750 Juta,"TURUN HARGA!! Rumah Bojong Indah, Rawa Buaya, 6x15 m², 2 Lt, SHM (TSI/17019)","Cengkareng, Jakarta Barat",2,1,90 m²,54 m²
99,18/09/2024,"Rp1,6 Miliar","Rumah Kresek Indah, Jakarta Barat, 6x18 m², 2 Lt, SHM (TSI/16996)","Cengkareng, Jakarta Barat",3,3,108 m²,150 m²
100,18/09/2024,"Rp1,6 Miliar","Rumah Kresek Indah, Jakarta Barat, 6x18 m², 2 Lt, SHM (TSI/16996)","Cengkareng, Jakarta Barat",3,3,108 m²,150 m²
101,18/09/2024,Rp280 Juta,Rumah Jakarta Selatan Perumahan Jakarta Selatan Rumah dekat Kota Jakarta Perumahan dekat Kota Jakarta Rumah Sawangan Depok Perumahan Sawangan depok Rumah Kota Depok Perumahan Kota depok di Jagakarsa,"Jagakarsa, Jakarta Selatan",2,1,60 m²,36 m²
102,18/09/2024,"Rp1,3 Miliar","Murah !! Dijual Cepat !! Rumah Standart Butuh Renovasi di Semper Barat , Bisa Nego","Cilincing, Jakarta Utara",7,6,136 m²,135 m²
103,18/09/2024,Rp40 Juta,Jual Cessie - Hunian nyaman dan Asri,"Kali Deres, Jakarta Barat",3,1,25 m²,25 m²
104,18/09/2024,Rp8 Miliar,"Rumah Cantik Classic Modern 2.5Lt, Balkon, Lay Out Bagus, Siap Huni, Lingk. Nyaman dan Strategis di Cibulan, Petogogan, Kebayoran Baru","Kebayoran Baru, Jakarta Selatan",4,4,157 m²,180 m²
105,18/09/2024,Rp650 Juta,Dijual Rumah Melalui Proses Lelang,"Kali Deres, Jakarta Barat",2,1,126 m²,200 m²
106,18/09/2024,"Rp1,64 Miliar",Dijual rumah siap huni di cipayung bambu apus.,"Cipayung, Jakarta Timur",4,4,78 m²,103 m²
107,18/09/2024,Rp85 Juta,Dijual rumah 1/2 Jadi di Cempaka Putih - Jakarta Pusat di Cempaka Mas Baru,"Cempaka Putih, Jakarta Pusat",3,2,43 m²,124 m²
108,18/09/2024,"Rp1,9 Miliar","Dijual Rumah Cantik, Aman, Nyaman, Bebas Banjir di Pondok Kopi, Duren Sawit Jakarta Timur","Duren Sawit, Jakarta Timur",3,3,209 m²,190 m²
109,18/09/2024,"Rp3,3 Miliar",Jual BU rumah tua mangga besar gang buntu,"Taman Sari, Jakarta Barat",0,0,115 m²,100 m²
110,17/09/2024,"Rp2,9 Miliar","Rumah Rapih Dekat Akses Toll Bintaro di B. Bintaro Permai, Pesanggrahan","Pesanggrahan, Jakarta Selatan",4,3,144 m²,220 m²
111,11/09/2024,"Rp1,8 Miliar",Di Jual murah rumah baru dikemanggisan kebon jeruk jakarta barat,"Kebon Jeruk, Jakarta Barat",5,3,145 m²,200 m²
112,11/09/2024,"Rp2,6 Miliar",Di Jual Rumah di kembangan jakarta barat,"Kembangan, Jakarta Barat",5,6,160 m²,218 m²
113,11/09/2024,Rp15 Miliar,JUAL RUMAH SIAP HUNI DI PLUIT MUARA KARANG JAKARTA UYARA,"Penjaringan, Jakarta Utara",5,4,325 m²,600 m²
114,11/09/2024,Rp700 Juta,Di Jual murah BUBB rumah di Rawa buaya cengkareng jakarta barat,"Cengkareng, Jakarta Barat",2,1,90 m²,54 m²
115,11/09/2024,"Rp2,1 Miliar","Dijual Cepat !! Rumah Minimalis 6x15 Siap Huni di Belakang Mall Kelapa Gading , Bisa Nego","Kelapa Gading, Jakarta Utara",2,1,90 m²,90 m²
116,11/09/2024,"Rp2,4 Miliar","Rumah Metro Marina Barat, Cluster Metro Marina, Jakarta Utara, 6x14 m², 2 Lt, HGB (TSI/17070)","Pademangan, Jakarta Utara",3,2,84 m²,120 m²
117,11/09/2024,"Rp2,4 Miliar","Rumah Metro Marina Barat, Cluster Metro Marina, Jakarta Utara, 6x14 m², 2 Lt, HGB (TSI/17070)","Pademangan, Jakarta Utara",3,2,84 m²,120 m²
118,11/09/2024,"Rp3,8 Miliar","Dijual Cepat !! Rumah Minimalis 8x12 Siap Huni di Kayu Mas , Bisa Nego","Pulo Gadung, Jakarta Timur",3,3,96 m²,220 m²
119,11/09/2024,"Rp3,6 Miliar",Rumah Cocok Untuk Usaha/Kost/Tempat Tinggal di Rawasari Jakarta Pusat,"Cempaka Putih, Jakarta Pusat",5,2,168 m²,160 m²
120,11/09/2024,"Rp27,9 Miliar","Dijual Cepat !! Rumah LUX Mewah Classic Modern di Villa Artha Gading , Bisa Nego","Kelapa Gading, Jakarta Utara",4,4,455 m²,850 m²
121,11/09/2024,"Rp4,9 Miliar","Minimalis Modern 3Lt, Semi Furnished, Siap Huni, Lingk. Nyaman dan Strategis dlm Cluster di Cilandak Barat, Cilandak","Cilandak, Jakarta Selatan",3,3,144 m²,250 m²
122,11/09/2024,Rp4 Miliar,"Rumah 2 lantai murah, SHM,  di Kelapa Gading Permai","Kelapa Gading, Jakarta Utara",5,4,200 m²,300 m²
123,11/09/2024,"Rp5,4 Miliar","Dijual Cepat !! Rumah Brand New Minimalis Modern 7x14 di Agung Permai Sunter , Bisa Nego","Tanjung Priok, Jakarta Utara",4,4,98 m²,275 m²
124,11/09/2024,Rp11 Miliar,Kemanggisan Jual Rumah  Cantik  dua Lantai Jakarta Barat,"Kebon Jeruk, Jakarta Barat",5,4,360 m²,500 m²
125,11/09/2024,"Rp4,5 Miliar","Dijual Cepat BUBB Rumah Brandnew, Anwa Puri,Jakarta Barat","Kembangan, Jakarta Barat",4,3,159 m²,185 m²
126,11/09/2024,"Rp3,8 Miliar","Dijual Rumah BUBB Konsep SOHO, Perumahan Villa Arteri,Kelapa Dua,Jakarta Barat","Kebon Jeruk, Jakarta Barat",6,5,145 m²,400 m²
127,11/09/2024,"Rp13,5 Miliar","TURUN HARGA!! Rumah Kebayoran Baru, Jakarta Selatan, 10.55x20.15 m², 2 Lt, SHM (TSI/16847)","Kebayoran Baru, Jakarta Selatan",5,4,211 m²,300 m²
128,11/09/2024,"Rp13,5 Miliar","TURUN HARGA!! Rumah Kebayoran Baru, Jakarta Selatan, 10.55x20.15 m², 2 Lt, SHM (TSI/16847)","Kebayoran Baru, Jakarta Selatan",5,4,211 m²,300 m²
129,04/09/2024,"Rp1,15 Miliar",JARANG ADA BARANG LANGKA!!! Rumah Cengkareng dijual harga termurah 2 Rumah jadi 1 jakarta barat,"Cengkareng, Jakarta Barat",4,2,359 m²,288 m²
130,04/09/2024,"Rp6,75 Miliar","Dijual Cepat !! Rumah Bagus Full Furnish 10x17 di Kelapa Puan , Bisa Nego","Kelapa Gading, Jakarta Utara",5,3,170 m²,200 m²
131,04/09/2024,"Rp3,2 Miliar","Dijual Cepat !! Rumah Full Furnish 6x17,5 di Pelangi Gading Residence , Bisa Nego","Kelapa Gading, Jakarta Utara",4,2,105 m²,105 m²
132,04/09/2024,"Rp1,75 Miliar","Murah !! Dijual Cepat Rumah Siap Huni 6x17 di Kelapa Hybrida , Bisa Nego Tipi","Kelapa Gading, Jakarta Utara",3,2,102 m²,102 m²
133,04/09/2024,Rp250 Juta,Jual Rumah Villa Murah Bogor Dekat Wisata Gunung Halimun Salak 200 Jutaan,"Koja, Jakarta Utara",2,1,78 m²,36 m²
134,04/09/2024,"Rp4,25 Miliar","DIJUAL RUMAH BRAND NEW 3 LANTAI DI KELAPA GADING, JAKARTA UTARA","Kelapa Gading, Jakarta Utara",4,3,102 m²,215 m²
135,04/09/2024,"Rp10,5 Miliar","DIJUAL RUMAH MEWAH 2 LANTAI DI JELAMBAR, JAKARTA BARAT","Grogol Petamburan, Jakarta Barat",3,3,469 m²,283 m²
136,04/09/2024,"Rp2,5 Miliar",Dijual rumah dipasar minggu strategis,"Pasar Minggu, Jakarta Selatan",3,2,120 m²,120 m²
137,04/09/2024,"Rp4,42 Miliar",Vastu Jakarta Garden city Vastu cluster terbaru dan premium book now,"Cakung, Jakarta Timur",4,4,105 m²,194 m²
138,04/09/2024,"Rp2,1 Miliar",D Jual rumah di Taman semanan indah,"Kali Deres, Jakarta Barat",4,2,90 m²,105 m²
139,04/09/2024,"Rp1,87 Miliar",Rumah 2 Lantai Dalam Cluster Pinggir Jalan Lokasi Strategis Di Jagakarsa,"Jagakarsa, Jakarta Selatan",3,3,70 m²,118 m²
140,03/09/2024,Rp1 Miliar,Scandinavian Residence Cipayung Jakarta Timur,"Ciracas, Jakarta Timur",3,2,85 m²,80 m²
141,28/08/2024,"Rp1,5 Miliar",Rumah readystok mewah split level Cilangkap Cipayung Jakarta Timur,"Cipayung, Jakarta Timur",4,2,90 m²,100 m²
142,28/08/2024,"Rp2,2 Miliar",Di jual rumah rapi siap huni di Teluk Gong. Jakarta utara,"Penjaringan, Jakarta Utara",5,2,75 m²,200 m²
